createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/15/2022 18:23:27,spidershot,12,9mm,0,v0.96.6-3707,85.52631,81,94,79,85,81,94,88,83,425.795039367676,375.510205078125,362.083679199219,397.043298630487,408.998868075284,488.853774126838,417.355370154748,576.798685709635,437.587367007607,140,152,2.16987419,130,
05/14/2022 18:49:43,spidershot,12,9mm,0,v0.96.6-3707,77.92207,76,84,82,80,76,67,85,72,449.92950749218,403.906414256376,388.139926365444,411.396639823914,405.018368369655,480.798597717285,558.34663609096,423.241706261268,516.379710388184,134,154,2.002996,120,
05/14/2022 18:48:35,spidershot,12,9mm,0,v0.96.6-3707,75.64102,81,88,74,79,82,74,64,70,437.492907714844,341.044347127279,387.203958847943,466.198628145106,402.835187410053,445.010614304315,483.835309346517,530.145394461496,460.544132995605,136,156,1.96938777,118,
05/14/2022 18:47:29,spidershot,12,9mm,0,v0.96.6-3707,77.01864,88,100,80,89,79,61,60,71,438.65122346317,348.531931023849,382.854248046875,425.150101511102,376.685873551802,446.533504710478,508.27353140024,564.448239644369,523.931603682669,136,161,2.06952047,124,
05/14/2022 18:46:15,spidershot,12,9mm,0,v0.96.6-3707,79.06977,90,85,83,90,85,62,62,82,395.202472307824,374.389345550537,352.707159423828,378.978652954102,353.766280401321,398.342342376709,421.485147476196,479.501749375287,424.54544321696,152,172,2.26988363,136,
05/14/2022 18:45:08,spidershot,12,9mm,0,v0.96.6-3707,74.05064,70,74,83,63,68,89,68,76,447.44122297244,421.580619363224,388.826440175374,381.619601081399,406.150944179959,481.759436214671,496.112670898437,540.502821702224,493.876921001233,134,158,1.9530021,117,
05/13/2022 17:45:56,spidershot,12,9mm,0,v0.96.6-3707,78.47222,83,83,87,65,88,62,83,76,469.543745581559,406.577615833282,406.965824327971,430.306642659505,431.093595504761,470.947842915853,588.288577270508,477.783828735352,591.434441817434,128,144,1.88570154,113,
05/13/2022 17:44:47,spidershot,12,9mm,0,v0.96.6-3707,78.67647,87,94,82,63,81,73,76,75,481.281114639774,446.117104424371,431.548883774701,421.091316731771,517.000995635986,469.230426494892,494.990194702148,526.759918212891,538.636868286133,124,136,1.78500712,107,
05/13/2022 17:43:36,spidershot,12,9mm,0,v0.96.6-3707,79.02098,95,89,75,79,63,79,76,76,464.49725818634,450.218048095703,415.432413201583,455.589806189904,419.345954446232,515.033620198568,455.148587313565,487.521106719971,523.570283677843,128,143,1.88574851,113,
05/13/2022 17:42:26,spidershot,12,9mm,0,v0.96.6-3707,84.55882,94,68,88,88,82,75,100,83,466.673327445984,419.282162475586,437.98405456543,411.65860748291,424.12231648763,467.92001953125,545.851432800293,531.070084791917,528.606769762541,128,136,1.91843224,115,
